Stop ID #,Stop Abbreviation,Stop Location,Out/In,,Lat,Long,Shelter? Y/N,Type LNI/Wood,Small sign (ID),CHK Panel,MTD sign,# of Benches,Bench Type,Trashcan,# of cans,Trashcan Type,ADA,Notes,Pole,Link
472,EllwSaBO,Ellwood Station & San Blanco,Outbound,,34.433845,-119.885156,No,,yes,No,Yes,1,Concrete,no,0,,No,,Galvinized Pole - Silver,"https://www.google.com/maps/place/Ellwood+Station+%26+San+Blanco/@34.4339167,-119.8850848,3a,35.3y,224.8h,79.46t/data=!3m6!1e1!3m4!1sOf4tnl7AmX2F83DIGlfcCA!2e0!7i16384!8i8192!4m7!3m6!1s0x80e9474bb01f508f:0x189ad673f2115552!8m2!3d34.433845!4d-119.885156!10e5!16s%2Fg%2F11dxkc6c07?entry=ttu"
473,CaReSaRO,Calle Real & San Rossano,Outbound,,34.432815,-119.889519,No,,yes,No,Yes,1,Wooden,no,0,,Yes,,Galvinized Pole - Silver,"https://www.google.com/maps/place/Calle+Real+%26+San+Rossano/@34.4327759,-119.889519,3a,40.1y,50.17h,80.41t/data=!3m7!1e1!3m5!1sQxxO0B60Dm_lgH3GgndKgQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DQxxO0B60Dm_lgH3GgndKgQ%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D359.59097%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m7!3m6!1s0x80e947490f0e3f39:0xdc86d6a9376b5c60!8m2!3d34.432815!4d-119.889519!10e5!16s%2Fg%2F1v8j0rhv?entry=ttu"
474,BranHemO,Brandon & Hempstead,Outbound,,34.433929,-119.891433,No,,yes,No,Yes,1,Wooden,no,0,,Yes,,Galvinized Pole - Silver,"https://www.google.com/maps/place/Brandon+%26+Hempstead/@34.4338685,-119.8915093,3a,38.8y,49.85h,82.49t/data=!3m6!1e1!3m4!1sPj9y7WXmPdeWh0d5UdtURg!2e0!7i16384!8i8192!4m7!3m6!1s0x80e94748408ee307:0xdae9664ef2cd564c!8m2!3d34.433929!4d-119.891433!10e5!16s%2Fg%2F1tdb4lh5?entry=ttu"
475,BranPadO,Brandon & Padova,Outbound,,34.437387,-119.892675,No,,yes,No,Yes,1,Concrete,no,0,,Yes,,Galvinized Pole - Silver,"https://www.google.com/maps/place/Brandon+%26+Padova/@34.4374661,-119.8927627,3a,75y,328.59h,79.24t/data=!3m6!1e1!3m4!1s5B_LHvtYRZZ_M7mRm10sSA!2e0!7i16384!8i8192!4m11!1m2!2m1!1sBrandon+%26+Padova!3m7!1s0x80e947377f539f4b:0xac3f9a44806aea15!8m2!3d34.43744!4d-119.8927415!10e5!15sChBCcmFuZG9uICYgUGFkb3ZhkgEXbG9naWNhbF90cmFuc2l0X3N0YXRpb27gAQA!16s%2Fg%2F11dxktc3q5?entry=ttu"
476,SaliSaNO,Salisbury & San Napoli,Outbound,,34.439095,-119.894743,No,,yes,No,Yes,no,,no,0,,No,,Galvinized Pole - Silver,"https://www.google.com/maps/place/Salisbury+%26+San+Napoli/@34.4392552,-119.8946723,3a,15.5y,201.31h,86.53t/data=!3m6!1e1!3m4!1sQEznsI79BEhTkXaCluO0wQ!2e0!7i16384!8i8192!4m7!3m6!1s0x80e947398c61ec77:0xd2f4d40707ce7450!8m2!3d34.439095!4d-119.894743!10e5!16s%2Fg%2F1tfjfvsl?entry=ttu"
477,SaliPadO,Salisbury & Padova,Outbound,,34.437024,-119.895314,No,,yes,No,Yes,1,Concrete,no,0,,No,,Galvinized Pole - Silver,"https://www.google.com/maps/place/Salisbury+%26+Padova/@34.4370328,-119.8952549,3a,49y,78.95h,85.27t/data=!3m7!1e1!3m5!1sdoVqZrPKD-G0CNk3DBYOhQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DdoVqZrPKD-G0CNk3DBYOhQ%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D25.26249%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m7!3m6!1s0x80e94739b203d1ed:0xc9a664d2f36505af!8m2!3d34.4370515!4d-119.8952345!10e5!16s%2Fg%2F11c6_spdbk?entry=ttu"
479,CaReWinO,Calle Real & Winchester,Outbound,,34.432722,-119.902647,No,,yes,Yes,Yes,no,,no,0,,No,,Street lamp,"https://www.google.com/maps/place/Calle+Real+%26+Winchester/@34.4326457,-119.9025059,3a,35.6y,330.75h,85.73t/data=!3m6!1e1!3m4!1slKA0nYsZAJtF7qD80eceig!2e0!7i16384!8i8192!4m7!3m6!1s0x80e9473f8f4260c7:0x5e40a40ba50f0e27!8m2!3d34.432722!4d-119.902647!10e5!16s%2Fg%2F1vzqskv0?entry=ttu"
480,EverRedN,Evergreen & Redwood,Inbound,,34.440107,-119.894097,No,,yes,No,Yes,no,,no,0,,Yes,,Street Signage pole,"https://www.google.com/maps/place/Evergreen+%26+Redwood/@34.4401458,-119.8941318,3a,44.7y,157.52h,81.18t/data=!3m6!1e1!3m4!1sWdrFldl_DboOx2YxSZK9ew!2e0!7i16384!8i8192!4m7!3m6!1s0x80e9473a1af6a267:0xca820daea39f6028!8m2!3d34.440107!4d-119.894097!10e5!16s%2Fg%2F1tkl3mpr?entry=ttu"
481,BranDurN,Brandon & Durham,Inbound,,34.434862,-119.891998,no,,yes,No,Yes,no,,no,0,,Yes,,Powder Coated Pole - Green,"https://www.google.com/maps/place/Brandon+%26+Durham/@34.4349399,-119.8919529,3a,43.1y,204.58h,83.84t/data=!3m6!1e1!3m4!1sLqhWUhoNW7rz_NJwfx7F6g!2e0!7i16384!8i8192!4m7!3m6!1s0x80e947481652a067:0x9a58c5ae849cf573!8m2!3d34.434242!4d-119.891816!10e5!16s%2Fg%2F1tgnmcyw?entry=ttu"
482,BranCaRN,Brandon & Calle Real,Inbound,,34.432902,-119.891197,no,,yes,No,Yes,no,,no,0,,Yes,,Galvinized Pole - Silver,"https://www.google.com/maps/place/Brandon+%26+Calle+Real/@34.4330066,-119.8911188,3a,42.9y,222.51h,87.73t/data=!3m6!1e1!3m4!1sFjzSYWR1jLOXenmOk7ys_A!2e0!7i16384!8i8192!4m7!3m6!1s0x80e9474858ea8c9d:0x4bd431efd314060c!8m2!3d34.432902!4d-119.891197!10e5!16s%2Fg%2F1tfwknxy?entry=ttu"
