"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"1400000US06005000102","Census Tract 1.02, Amador County, California","1982","346"
"1400000US06005000200","Census Tract 2, Amador County, California","4748","490"
"1400000US06005000301","Census Tract 3.01, Amador County, California","5105","295"
"1400000US06005000303","Census Tract 3.03, Amador County, California","5623","526"
"1400000US06005000304","Census Tract 3.04, Amador County, California","4597","372"
"1400000US06005000401","Census Tract 4.01, Amador County, California","4675","446"
"1400000US06005000402","Census Tract 4.02, Amador County, California","4639","574"
"1400000US06005000500","Census Tract 5, Amador County, California","3152","287"
"1400000US06007000102","Census Tract 1.02, Butte County, California","4032","277"
"1400000US06007000103","Census Tract 1.03, Butte County, California","5393","282"
"1400000US06007000104","Census Tract 1.04, Butte County, California","5517","463"
"1400000US06007000201","Census Tract 2.01, Butte County, California","4075","399"
"1400000US06007000202","Census Tract 2.02, Butte County, California","3703","329"
"1400000US06007000300","Census Tract 3, Butte County, California","4764","418"
"1400000US06007000401","Census Tract 4.01, Butte County, California","4186","384"
"1400000US06007000402","Census Tract 4.02, Butte County, California","7973","465"
"1400000US06007000501","Census Tract 5.01, Butte County, California","4793","416"
"1400000US06007000502","Census Tract 5.02, Butte County, California","4402","430"
"1400000US06007000601","Census Tract 6.01, Butte County, California","3530","315"
"1400000US06007000603","Census Tract 6.03, Butte County, California","3681","509"
"1400000US06007000604","Census Tract 6.04, Butte County, California","4245","513"
"1400000US06007000700","Census Tract 7, Butte County, California","4626","434"
"1400000US06007000800","Census Tract 8, Butte County, California","5664","365"
"1400000US06007000901","Census Tract 9.01, Butte County, California","2656","261"
"1400000US06007000903","Census Tract 9.03, Butte County, California","6697","469"
"1400000US06007000904","Census Tract 9.04, Butte County, California","7107","514"
"1400000US06007001000","Census Tract 10, Butte County, California","4122","823"
"1400000US06007001100","Census Tract 11, Butte County, California","4388","517"
"1400000US06007001200","Census Tract 12, Butte County, California","3706","416"
"1400000US06007001300","Census Tract 13, Butte County, California","3689","303"
"1400000US06007001400","Census Tract 14, Butte County, California","6088","782"
"1400000US06007001500","Census Tract 15, Butte County, California","5834","677"
"1400000US06007001600","Census Tract 16, Butte County, California","4753","488"
"1400000US06007001702","Census Tract 17.02, Butte County, California","5727","502"
"1400000US06007001703","Census Tract 17.03, Butte County, California","2731","337"
"1400000US06007001704","Census Tract 17.04, Butte County, California","3583","355"
"1400000US06007001800","Census Tract 18, Butte County, California","4356","440"
