objectid,ID,ST_NAME,SPAN_OPS,HRS_BEGIN,HRS_END,REDLANE,TAXI,HOURS,STATUS,DAYTYPE_WD,DAYTYPE_WE,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,FROM_ST,TO_ST,CORRIDOR,DIRECTION,LAYOUT,DAY_TYPE,IMPLEMENT,MUNI_ROUTE,BUSORTRAIN,MTAB_DATE,MTAB_MOTION,shape,data_as_of,data_loaded_at,analysis_neighborhood,supervisor_district
1602,,,,,,,,,Existing permanent transit lanes,,,EKNOPF,2021-03-25T15:17:22.000000000-07:00,EKNOPF,2021-03-25T15:17:56.000000000-07:00,,,,,,,,,,,,"LINESTRING (-122.445833723 37.782493027, -122.447314725 37.782396637)",03/25/2021 03:17:56 PM,01/18/2024 03:36:28 PM,"Lone Mountain/USF, Presidio Heights",2
718,0,Stockton St,24 Hours,0,2400,Non-red,taxi allowed,24 hours everyday,Existing permanent transit lanes,weekday,weekend,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T10:53:08.000000000-07:00,Bush,Geary,,Both,,All Days,,,,,,"LINESTRING (-122.407146107 37.790380187, -122.406614686 37.787544303)",03/25/2021 10:53:08 AM,01/18/2024 03:36:28 PM,Financial District/South Beach,3
724,0,Sacramento St,24 Hours,0,2400,Non-red,taxi allowed,24 hours everyday,Future TETL corridor,weekdays,,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T11:48:01.000000000-07:00,Drumm,Front,,Westbound,,All Days,1997-12-31T16:00:00.000000000-08:00,,,,546-98,"LINESTRING (-122.396577273 37.794607376, -122.397732398 37.794460878, -122.398970592 37.794315517)",03/25/2021 11:48:01 AM,01/18/2024 03:36:28 PM,Financial District/South Beach,3
646,,Powell Street,,,,Non-red,,,Existing permanent transit lanes,,,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T11:49:52.000000000-07:00,Geary,Sutter,,,,,,,,,,"LINESTRING (-122.408226726 37.787359262, -122.408595045 37.789225615)",03/25/2021 11:49:52 AM,01/18/2024 03:36:28 PM,"Financial District/South Beach, Nob Hill, Tenderloin",3
659,,Jones St,24 Hours,0,2400,Non-red,no,24 hours everyday,Existing permanent transit lanes,weekdays,weekends,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T10:52:34.000000000-07:00,Jefferson,Beach,,Southbound,,All Days,1996-12-31T16:00:00.000000000-08:00,,,,697-97,"LINESTRING (-122.417257539 37.807071558, -122.417444907 37.808013201)",03/25/2021 10:52:34 AM,01/18/2024 03:36:28 PM,North Beach,3
1294,,,,,,,,,Existing permanent transit lanes,,,EKNOPF,2021-03-25T13:30:05.000000000-07:00,EKNOPF,2021-03-25T13:33:35.000000000-07:00,,,,,,,,,,,,"LINESTRING (-122.401883747 37.803999417, -122.399504286 37.801334421, -122.398385939 37.800025718, -122.397338976 37.798883576, -122.395982684 37.797336927, -122.393864963 37.795147823, -122.392484876 37.793767735, -122.390938226 37.792459032, -122.390271977 37.791293096, -122.389581933 37.790531668, -122.388463587 37.789579884, -122.388011489 37.788842251, -122.387821132 37.787723904, -122.388106668 37.784654399, -122.388297025 37.781822841, -122.388392203 37.781013824, -122.389605728 37.779895477, -122.394031526 37.776326286)",03/25/2021 01:33:35 PM,01/18/2024 03:36:28 PM,"Financial District/South Beach, Mission Bay","3, 6"
647,,Powell Street,,,,Non-red,,,Existing permanent transit lanes,,,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T11:49:52.000000000-07:00,Sacramento,Jackson,,,,,,,,,,"LINESTRING (-122.409898752 37.795616425, -122.409406828 37.793030975)",03/25/2021 11:49:52 AM,01/18/2024 03:36:28 PM,"Chinatown, Nob Hill",3
652,,Powell Street,24 Hours,0,2400,red lane,no,24 hours everyday,Existing permanent transit lanes,weekdays,weekends,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T11:49:52.000000000-07:00,California St,Sacramento St,,Southbound,,All Days,1957-12-31T16:00:00.000000000-08:00,,,,,"LINESTRING (-122.409199058 37.792039044, -122.409406828 37.793030975)",03/25/2021 11:49:52 AM,01/18/2024 03:36:28 PM,Nob Hill,3
655,0,Clay Street,Part Time,700,900,Non-red,taxi allowed,7AM-9AM M-F,Future TETL corridor,weekdays,,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T11:48:01.000000000-07:00,Powell St,Sansome St,,Eastbound,,Weekdays,1978-12-31T16:00:00.000000000-08:00,,,,726-70,"LINESTRING (-122.401497508 37.79483868, -122.402374359 37.794770878, -122.403139304 37.79466623, -122.403629041 37.794603202, -122.403620465 37.794604305, -122.404796481 37.794452953, -122.405663226 37.79434517, -122.406304994 37.794263575, -122.406821224 37.794197905, -122.407294014 37.794137759, -122.407532268 37.79410745, -122.407903311 37.794060245, -122.408720366 37.793956295, -122.40919146 37.793896357, -122.409541058 37.793851877, -122.409543802 37.793865329)",03/25/2021 11:48:01 AM,01/18/2024 03:36:28 PM,"Chinatown, Nob Hill",3
968,,TETL,,,,,,,Existing permanent transit lanes,,,AZHANG,2020-06-15T17:34:23.000000000-07:00,EKNOPF,2021-03-25T10:53:08.000000000-07:00,,,TETL,,,,,,,,,"LINESTRING (-122.405207471 37.788689718, -122.402010676 37.789107649)",03/25/2021 10:53:08 AM,01/18/2024 03:36:28 PM,Financial District/South Beach,3
