objectid,CNN,STREET1,STREET2,DETECTION,STREET3,SUP_DIST,STREET4,SIG_NUM,TYPE,IC_MAKE,MODEL,CABINET_SI,SYSTEM_NUM,MASTER,BBS,VEH_ACTUAT,PED_SIGNAL,PED_ACTUAT,TBC,INTERCONNE,PREEMPT_PR,D_ATE2070,PROJECT_NE,PROJECT_OL,UPGRADED,YR_OF_CONT,LAST_UPGRA,NEW_SIGNAL,MOD_PROJEC,FULL_UPGRA,BEACON_FLA,FUNDING,RLCAM,STARTYEAR,CALTRANS_R,CALTRANS,PERCENT_C,SF,PERCENT_SF,PERCENT_PO,LAMP_ASSGN,LAMP_SORT,SORT_ME,APS,shape,data_as_of,data_loaded_at,analysis_neighborhood,supervisor_district,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
13615,26908000,COLLINS,GEARY,OPTICOM,,2,,9285000,SIGNAL,ECONOLITE,2070-TS2-TYPE-1,2070-MSF-TS2-TYPE-1,15,MASTER-GPS,,,ALL,,GPS,"12C,FIBER,PROXIM","TSP,FIRE PREEMPT",,,MID GEARY,FULL DONE,10/01,0,NONE,NONE,DONE,NONE,SALES TAX,,1959,,,0,,0,0,31,,,,POINT (-122.450092302 37.782116603),04/26/2023 03:24:48 PM,04/26/2023 03:24:48 PM,Lone Mountain/USF,2,12,12,8,4,18
13759,26639000,FILLMORE,SACRAMENTO,OPTICOM,,2,,9351000,SIGNAL,MCCAIN,2070-TS2-1,G,73,,,,ALL,,GPS,PROXIM,"TSP,FIRE PREEMPT",,,,NONE,,0,,,,,,,1974,,,0,,0,0,11,,,,POINT (-122.434027089 37.789836972),04/26/2023 03:24:48 PM,04/26/2023 03:24:48 PM,Pacific Heights,2,102,102,4,6,30
12943,22924000,PORTOLA,SANTA CLARA,,VICENTE,7,,9521000,SIGNAL,EAGLE,2070-TS2-1,G,33,,,WIRELESS,ALL,,GPS,,,,Traffic Signal Hardware Replacement Phase 1,CT 23,FULL DONE,,1999,NONE,NONE,DONE,NONE,SALES TAX,,1951,,,0,,0,0,65,,CAB/CONTR,APS_4WIRE_ARRA (4),POINT (-122.466157327 37.739235831),04/26/2023 03:24:48 PM,04/26/2023 03:24:48 PM,West of Twin Peaks,7,46,46,10,8,41
13227,26618000,GEARY,SCOTT,OPTICOM,,5,,9386500,SIGNAL,MCCAIN,2070-TS2-1,MSF72,72,,,,ALL,,,FIBER,"TSP,FIRE PREEMPT",,,Geary BRT PH 1; CT 15,FULL AFTER MOD DONE,01/21,2021,NONE,DONE,DONE,NONE,SFMTA PROP-A,,1961,,,0,,0,0,31,,,APS iNS 2WIRE GEARY RAPID (11),POINT (-122.437847944 37.783717638),04/26/2023 03:24:48 PM,04/26/2023 03:24:48 PM,Western Addition,5,103,103,4,11,39
13937,30045000,CHARLES J BRENHAM,MCALLISTER,,,5,,9271200,SIGNAL,EAGLE,2070-TS2-1,MSF,01D,,,,ALL,,GPS,PROXIM,,,BETTER MARKET,CT 47,MOD FUTURE AFTER NEW DONE,,1996,DONE,FUTURE,NONE,NONE,SALES TAX,,1996,,,0,,0,0,51,,,,POINT (-122.41314805 37.780993782),04/26/2023 03:25:40 PM,04/26/2023 03:25:40 PM,Tenderloin,5,20,20,5,10,36
14118,21526000,ALEMANY,FOOTE,,,11,,0,SIGNAL,MCCAIN,2070-TS2-1,MSF65-ATC,45,,,WIRELESS,ALL,YES,GPS,,,,,CT 64,NEW DONE,01/20,2020,DONE,NONE,NONE,NONE,SFMTA PROP-A/SALES TAX,,2020,,,0,,0,0,01,,,APS iNAV 2WIRE CT 64 (10),POINT (-122.447267314 37.714647388),04/26/2023 03:25:40 PM,04/26/2023 03:25:40 PM,Outer Mission,11,66,66,9,1,28
13640,26915000,CALIFORNIA,WALNUT,OPTICOM,,2,,9258000,SIGNAL,MCCAIN,2070-TS2-1,MSF,14,,,WIRELESS&LOOPS,SOME PHASES,YES,GPS,PROXIM,"TSP,FIRE PREEMPT",,,CT 21,MOD DONE,02/92,0,,DONE,,,SALES TAX,,1985,,,0,,0,0,11,,,,POINT (-122.448468375 37.787049383),04/26/2023 03:24:48 PM,04/26/2023 03:24:48 PM,Presidio Heights,2,10,10,8,6,31
13976,23569000,18TH ST,ILLINOIS,VETAG,,10,,9099100,SIGNAL,MCCAIN,2070-TS2-1,MSF,28,,,WIRELESS,ALL,YES,GPS,,TRANSIT PREEMPT,,,3RDLRP,NEW DONE,,0,DONE,NONE,NONE,NONE,,,2019,,,0,,0,0,85,,,APS ENAV 2WIRE MISSION BAY LOOP (6),POINT (-122.387794796 37.763107218),04/26/2023 03:25:40 PM,04/26/2023 03:25:40 PM,Potrero Hill,10,56,56,2,9,26
14150,909201,19TH AVE,MIDBLOCK AT,,IRVING,4.7,LINCOLN,0,RADAR SPEED SIGN,,,,N/A,,,,N.A.,,,,,,,,,,0,,,,,,,0,,,0,,0,0,56,,,,POINT (-122.477320059 37.764662953),04/26/2023 03:25:40 PM,04/26/2023 03:25:40 PM,Sunset/Parkside,4,39,39,10,7,35
13813,25573000,COLUMBUS,LEAVENWORTH,,NORTH POINT,3,,0,SIGNAL,MCCAIN,2070-TS2-1,MSF,11A,,,,ALL,,GPS,12C,,,,BAY/NORTH POINT,FULL DONE,04/96,1997,NONE,NONE,DONE,NONE,FED/SALES TAX,,1976,,,0,,0,0,18,,,,POINT (-122.418380659 37.805977369),04/26/2023 03:25:40 PM,04/26/2023 03:25:40 PM,North Beach,3,99,99,6,3,23
13139,23881000,09TH ST,BRANNAN,,,6,,9059500,SIGNAL,MCCAIN,2070-TS2-1,G,75,,,,ALL,,GPS,,,,CT 36,BRANNAN/TOWNSEND,MOD AFTER FULL PENDING,1/01,2002,NONE,PENDING,DONE,NONE,SALES TAX,,1988,,,0,,0,0,05,,,,POINT (-122.40700149 37.770049772),04/26/2023 03:24:48 PM,04/26/2023 03:24:48 PM,South of Market,6,33,33,1,10,34
