GEOID,NAME,ttl_jobs,ttl_population
6007000800,"Census Tract 8, Butte County, California",NA,5664
6007000901,"Census Tract 9.01, Butte County, California",NA,2656
6007000903,"Census Tract 9.03, Butte County, California",NA,6697
6007000904,"Census Tract 9.04, Butte County, California",NA,7107
6007001000,"Census Tract 10, Butte County, California",NA,4122
6007001100,"Census Tract 11, Butte County, California",NA,4388
6007001200,"Census Tract 12, Butte County, California",NA,3706
6007001300,"Census Tract 13, Butte County, California",NA,3689
6007001400,"Census Tract 14, Butte County, California",NA,6088
6007001500,"Census Tract 15, Butte County, California",NA,5834
6007001600,"Census Tract 16, Butte County, California",NA,4753
6007001702,"Census Tract 17.02, Butte County, California",NA,5727
6007001703,"Census Tract 17.03, Butte County, California",NA,2731
6007001704,"Census Tract 17.04, Butte County, California",NA,3583
6007001800,"Census Tract 18, Butte County, California",NA,4356
6007001900,"Census Tract 19, Butte County, California",NA,2625
6007002000,"Census Tract 20, Butte County, California",NA,4974
6007002100,"Census Tract 21, Butte County, California",NA,3603
6007002200,"Census Tract 22, Butte County, California",NA,5138
6007002300,"Census Tract 23, Butte County, California",NA,4263
6007002400,"Census Tract 24, Butte County, California",NA,4660
6007002500,"Census Tract 25, Butte County, California",NA,5946
6007002601,"Census Tract 26.01, Butte County, California",NA,2599
6007002602,"Census Tract 26.02, Butte County, California",NA,3628
6007002700,"Census Tract 27, Butte County, California",NA,5953
6007002800,"Census Tract 28, Butte County, California",NA,3883
6007002900,"Census Tract 29, Butte County, California",NA,2907
6007003001,"Census Tract 30.01, Butte County, California",NA,2553
6007003002,"Census Tract 30.02, Butte County, California",NA,3158
6007003100,"Census Tract 31, Butte County, California",NA,4573
6007003200,"Census Tract 32, Butte County, California",NA,4210
6007003300,"Census Tract 33, Butte County, California",NA,4083
6007003400,"Census Tract 34, Butte County, California",NA,3681
6007003501,"Census Tract 35.01, Butte County, California",NA,3773
6007003502,"Census Tract 35.02, Butte County, California",NA,4495
6007003600,"Census Tract 36, Butte County, California",NA,4202
6007003700,"Census Tract 37, Butte County, California",NA,4889
6009000120,"Census Tract 1.20, Calaveras County, California",NA,4694
6009000121,"Census Tract 1.21, Calaveras County, California",NA,4483
6009000122,"Census Tract 1.22, Calaveras County, California",NA,3560
6009000210,"Census Tract 2.10, Calaveras County, California",NA,11100
6009000220,"Census Tract 2.20, Calaveras County, California",NA,6795
6009000300,"Census Tract 3, Calaveras County, California",NA,7496
6009000400,"Census Tract 4, Calaveras County, California",NA,2722
6009000501,"Census Tract 5.01, Calaveras County, California",NA,2776
6009000503,"Census Tract 5.03, Calaveras County, California",NA,1431
6009000504,"Census Tract 5.04, Calaveras County, California",NA,457
6011000100,"Census Tract 1, Colusa County, California",NA,5647
6011000200,"Census Tract 2, Colusa County, California",NA,5027
6011000300,"Census Tract 3, Colusa County, California",NA,5963
6011000400,"Census Tract 4, Colusa County, California",NA,2252
6011000500,"Census Tract 5, Colusa County, California",NA,2565
6013301000,"Census Tract 3010, Contra Costa County, California",NA,5150
6013302005,"Census Tract 3020.05, Contra Costa County, California",NA,7290
6013302006,"Census Tract 3020.06, Contra Costa County, California",NA,3775
6013302007,"Census Tract 3020.07, Contra Costa County, California",NA,6652
6013302008,"Census Tract 3020.08, Contra Costa County, California",NA,8781
6013302009,"Census Tract 3020.09, Contra Costa County, California",NA,7279
6013302010,"Census Tract 3020.10, Contra Costa County, California",NA,11767
6013303102,"Census Tract 3031.02, Contra Costa County, California",NA,9625
6013303103,"Census Tract 3031.03, Contra Costa County, California",NA,12652
6013303201,"Census Tract 3032.01, Contra Costa County, California",NA,12171
6013303202,"Census Tract 3032.02, Contra Costa County, California",NA,7439
6013303203,"Census Tract 3032.03, Contra Costa County, California",NA,10070
6013303204,"Census Tract 3032.04, Contra Costa County, California",NA,4751
6013303205,"Census Tract 3032.05, Contra Costa County, California",NA,8931
6013304001,"Census Tract 3040.01, Contra Costa County, California",NA,5272
6013304002,"Census Tract 3040.02, Contra Costa County, California",NA,1463
6013304003,"Census Tract 3040.03, Contra Costa County, California",NA,3793
6013304004,"Census Tract 3040.04, Contra Costa County, California",NA,4114
6013304005,"Census Tract 3040.05, Contra Costa County, California",NA,8766
6013305000,"Census Tract 3050, Contra Costa County, California",NA,6561
6013306002,"Census Tract 3060.02, Contra Costa County, California",NA,3837
6013306003,"Census Tract 3060.03, Contra Costa County, California",NA,5193
6013306004,"Census Tract 3060.04, Contra Costa County, California",NA,3616
6013307101,"Census Tract 3071.01, Contra Costa County, California",NA,4516
6013307102,"Census Tract 3071.02, Contra Costa County, California",NA,5330
6013307201,"Census Tract 3072.01, Contra Costa County, California",NA,3803
6013307202,"Census Tract 3072.02, Contra Costa County, California",NA,4299
6013307204,"Census Tract 3072.04, Contra Costa County, California",NA,4386
6013307205,"Census Tract 3072.05, Contra Costa County, California",NA,7557
6013308001,"Census Tract 3080.01, Contra Costa County, California",NA,7653
