deviceSerialNumber,MODELID,Bus,PLACEID,LOCATIONNAME,SUBLOCATION,INSTALLDATE,DEINSTALLDATE,DEVICE_ID_HEX
6497164,DC CID1A,5015,SOL5015,SOL,NSL-SOL-TDS-001,1/25/2017 0:00,1/4/2018 18:17,63238c    
6497186,DC CID1A,4503,SOL4503,SOL,NSL-SOL-TDS-001,2/10/2020 1:59,6/11/2020 0:00,006323A2  
6497298,DC CID1A,5023,SOL5023,SOL,NSL-SOL-TDS-001,10/4/2016 0:00,1/12/2018 14:11,632412
6497298,DC CID1A,5107,SOL5107,SOL,NSL-SOL-TDS-001,1/12/2018 14:11,9/1/2023 0:00,632412
6497304,DC CID1A,1901,SOL1901,SOL,NSL-SOL-TDS-001,4/3/2019 19:16,9/1/2023 0:00,632418
6497311,DC CID1A,3901,SOL3901,SOL,NSL-SOL-TDS-001,4/25/2014 20:15,10/11/2014 2:21,63241F    
6497312,DC CID1A,3911,SOL3911,SOL,NSL-SOL-TDS-001,4/18/2014 18:27,10/8/2014 2:40,632420
6497323,DC CID1A,3918,SOL3918,SOL,NSL-SOL-TDS-001,1/25/2019 8:00,9/1/2023 0:00,63242B    
6497491,DC CID1A,3905,SOL3905,SOL,NSL-SOL-TDS-001,4/18/2014 18:02,11/4/2014 4:56,6324D3    
6497496,DC CID1A,5113,SOL5113,SOL,NSL-SOL-TDS-001,1/28/2019 13:31,9/1/2023 0:00,6324D8    
6497499,DC CID1A  ,3904,SOL3904,SOL,NSL-SOL-TDS-001,2/26/2021 0:00,9/1/2023 0:00,6324DB    
6497551,DC CID1A,3913,SOL3913,SOL,NSL-SOL-TDS-001 ,9/18/2014 5:00,9/1/2023 0:00,63250F    
6497556,DC CID1A,5015,SOL5015,SOL,NSL-SOL-TDS-001 ,9/18/2014 2:29,8/28/2015 8:00,632514
6497567,DC CID1A,3907,SOL3907,SOL,NSL-SOL-TDS-001,4/25/2014 20:01,10/10/2014 7:20,63251F    
6497575,DC CID1A,5032,SOL5032,SOL,NSL-SOL-TDS-001,3/20/2016 0:00,2/14/2017 8:00,632527
6497575,DC CID1A,5105,SOL5105,SOL,NSL-SOL-TDS-001,2/14/2017 8:00,2/12/2020 0:00,632527
6497594,DC CID1A,5032,SOL5032,SOL,NSL-SOL-TDS-001,5/14/2014 18:34,10/22/2014 4:36,63253A    
6497596,DC CID1A,3914,SOL3914,SOL,NSL-SOL-TDS-001 ,9/18/2014 4:57,2/29/2016 8:00,63253C    
6497617,DC CID1A,5009,SOL5009,SOL,NSL-SOL-TDS-001,10/6/2016 0:00,10/15/2019 8:00,632551
6497617,DC CID1A,5101,SOL5101,SOL,NSL-SOL-TDS-001,10/15/2016 0:00,9/1/2023 0:00,632551
6497631,DC CID1A,5023,SOL5023,SOL,NSL-SOL-TDS-001 ,9/18/2014 1:57,7/28/2016 8:00,63255F    
6497631,DC CID1A,3918,SOL3918,SOL,NSL-SOL-TDS-001,7/28/2016 0:00,1/25/2019 8:00,63255f    
6497654,DC CID1A,5020,SOL5020,SOL,NSL-SOL-TDS-001 ,9/18/2014 2:09,1/17/2018 19:57,632576
6497654,DC CID1A,5110,SOL5110,SOL,NSL-SOL-TDS-001,1/17/2018 19:57,3/29/2021 0:00,632576
6497721,DC CID1A,5022,SOL5022,SOL,NSL-SOL-TDS-001 ,9/18/2014 2:00,2/11/2017 20:00,6325B9    
6497721,DC CID1A,5103,SOL5103,SOL,NSL-SOL-TDS-001,2/11/2017 20:00,9/1/2023 0:00,6325B9    
6497803,DC CID1A,5051,SOL5051,SOL,NSL-SOL-TDS-001,3/23/2022 23:34,9/1/2023 0:00,63260B    
6497854,DC CID1A,5013,SOL5013,SOL,NSL-SOL-TDS-001 ,9/18/2014 2:36,1/22/2019 13:12,63263E    
6497854,DC CID1A,5111,SOL5111,SOL,NSL-SOL-TDS-001,1/22/2019 13:13,9/1/2023 0:00,63263E    
6497942,DC CID1A  ,5105,SOL5105,SOL,NSL-SOL-TDS-001,2/12/2020 0:00,9/1/2023 0:00,632696
6497964,DC CID1A,3915,SOL3915,SOL,NSL-SOL-TDS-001 ,9/18/2014 3:49,9/1/2023 0:00,6326AC    
6497990,DC CID1A,3903,SOL3903,SOL,NSL-SOL-TDS-001,9/10/2015 0:00,4/8/2021 0:00,6326C6    
6497997,DC CID1A  ,3903,SOL3903,SOL,NSL-SOL-TDS-001,4/8/2021 0:00,9/1/2023 0:00,6326CD    
6498006,DC CID1A  ,3901,SOL3901,SOL,NSL-SOL-TDS-001,4/7/2020 0:00,9/1/2023 0:00,6326D6    
6498019,DC CID1A,1902,SOL1902,SOL,NSL-SOL-TDS-001,4/3/2019 19:16,8/30/2019 8:00,6.33E+06
6498094,DC CID1A,5021,SOL5021,SOL,NSL-SOL-TDS-001 ,9/18/2014 2:06,1/16/2018 16:54,63272E    
6498094,DC CID1A,5109,SOL5109,SOL,NSL-SOL-TDS-001,1/16/2018 16:54,10/23/2020 0:00,63272E    
