"dt_pacific","hour_pacific","Max","Average"
2024-06-13,10:56:00,316567,8077.32482993197
2024-06-13,10:56:20,316587,7698.66936790924
2024-06-13,10:56:40,316607,7840.80198019802
2024-06-13,10:57:00,316627,8166.15897435897
2024-06-13,10:57:20,316647,7528.71968503937
2024-06-13,10:57:40,316667,7925.31177446103
2024-06-13,10:58:00,316687,8223.90138408304
2024-06-13,10:58:20,316707,7661.12560386474
2024-06-13,10:58:40,316727,8489.90892857142
2024-06-13,10:59:00,316747,8364.99649737303
2024-06-13,10:59:20,316767,7214.96832579185
2024-06-13,10:59:40,316787,7854.62725779968
2024-06-13,11:00:00,316807,7539.60538827259
2024-06-13,11:00:20,316827,7727.06331168831
2024-06-13,11:00:40,316847,7578.92675159235
2024-06-13,11:01:00,316867,8124.81911262799
2024-06-13,11:01:20,316887,7609.46006389777
2024-06-13,11:01:40,316907,7768.91353996738
2024-06-13,11:02:00,316927,8324.7062937063
2024-06-13,11:02:20,316947,7927.21297836938
2024-06-13,11:02:40,316967,7887.98178807948
2024-06-13,11:03:00,316987,8753.17463235293
2024-06-13,11:03:20,317007,8415.01943462897
2024-06-13,11:03:40,317027,8917.33520599251
2024-06-13,11:04:00,317047,8643.68784029038
2024-06-13,11:04:20,317067,7665.49758454106
2024-06-13,11:04:40,317087,8272.38608695652
2024-06-13,11:05:00,317107,8132.13846153847
2024-06-13,11:05:20,317127,8232.17993079586
2024-06-13,11:05:40,317147,8909.16853932585
2024-06-13,11:06:00,317167,8218.85590277777
2024-06-13,11:06:20,317187,7278.27188940092
2024-06-13,11:06:40,317207,8577.1213768116
2024-06-13,11:07:00,317227,8366.97526501767
2024-06-13,11:07:20,317247,7791.4092409241
2024-06-13,11:07:40,317267,8022.3813559322
2024-06-13,11:08:00,317287,9599.08722109533
2024-06-13,11:08:20,317307,7909.39565943238
2024-06-13,11:08:40,317327,7919.81939799331
2024-06-13,11:09:00,317347,7867.39833333333
2024-06-13,11:09:20,317367,7851.9701986755
2024-06-13,11:09:40,317387,8201.57465277777
2024-06-13,11:10:00,317407,8066.34179357022
2024-06-13,11:10:20,317427,7550.21518987343
2024-06-13,11:10:40,317447,7960.85594639866
2024-06-13,11:11:00,317467,7531.41904761905
2024-06-13,11:11:20,317487,8702.83669724771
2024-06-13,11:11:40,317507,7512.59018987342
2024-06-13,11:12:00,317527,8514.66427289049
2024-06-13,11:12:20,317547,7584.96805111821
2024-06-13,11:12:40,317567,8584.41591320072
2024-06-13,11:13:00,317587,7645.20933977455
2024-06-13,11:13:20,317607,7482.49133858268
2024-06-13,11:13:40,317627,7590.57348242811
2024-06-13,11:14:00,317647,8020.18412162162
2024-06-13,11:14:20,317667,7946.1856187291
2024-06-13,11:14:40,317687,7812.45888157895
2024-06-13,11:15:00,317707,9191.96724470135
2024-06-13,11:15:20,317727,7634.57348242812
2024-06-13,11:15:40,317747,7468.46434231379
2024-06-13,11:16:00,317767,8548.9373881932
2024-06-13,11:16:20,317787,8850.34074074074
2024-06-13,11:16:40,317807,8135.64285714286
2024-06-13,11:17:00,317827,8899.0502793296
2024-06-13,11:17:20,317847,7932.06135986733
2024-06-13,11:17:40,317867,8229.87263339071
2024-06-13,11:18:00,317887,7638.4536741214
2024-06-13,11:18:20,317907,7581.76825396825
2024-06-13,11:18:40,317927,7713.82096774194
2024-06-13,11:19:00,317947,7989.53344481605
2024-06-13,11:19:20,317967,7444.67962674961
2024-06-13,11:19:40,317987,7806.88091353997
2024-06-13,11:20:00,318007,8150.25724020443
2024-06-13,11:20:20,318027,7234.8836858006
2024-06-13,11:20:40,318047,7245.60363086233
2024-06-13,11:21:00,318067,7740.31189710611
2024-06-13,11:21:20,318087,7646.2380952381
2024-06-13,11:21:40,318107,7879.35679214402
2024-06-13,11:22:00,318127,7892.47775947282
2024-06-13,11:22:20,318147,7593.6323296355
2024-06-13,11:22:40,318167,8391.75481611209
2024-06-13,11:23:00,318187,8333.69565217392
2024-06-13,11:23:20,318207,7977.06322795341
2024-06-13,11:23:40,318227,7887.00328947369
2024-06-13,11:24:00,318247,7459.6429699842
2024-06-13,11:24:20,318267,7486.58954041205
2024-06-13,11:24:40,318287,7147.55068078669
2024-06-13,11:25:00,318307,7961.83979763912
2024-06-13,11:25:20,318327,7795.16501650165
2024-06-13,11:25:40,318347,7612.36392914654
2024-06-13,11:26:00,318367,7047.16939078752
2024-06-13,11:26:20,318387,8408.9822064057
2024-06-13,11:26:40,318407,7987.125
2024-06-13,11:27:00,318427,7411.96081504703
2024-06-13,11:27:20,318447,8305.230228471
2024-06-13,11:27:40,318467,7857.97337770383
2024-06-13,11:28:00,318487,7263.17021276596
2024-06-13,11:28:20,318507,8071.14527027027
2024-06-13,11:28:40,318527,7311.74159021406
2024-06-13,11:29:00,318547,7164.79518072289
2024-06-13,11:29:20,318567,7219.77389984826
2024-06-13,11:29:40,318587,7434.9375
2024-06-13,11:30:00,318607,7897.05481727574
2024-06-13,11:30:20,318627,7295.69785276074
