"hour_pacific","Max","Average"
02:34:00,665320,81723.3137254902
02:34:20,665340,80164.7692307692
02:34:40,665360,80176.5769230769
02:35:00,665380,81750.9411764706
02:35:20,665400,80186.25
02:35:40,665420,83397.2
02:36:00,665440,81774.4117647059
02:36:20,665460,81785.6470588236
02:36:40,665480,74496.1071428571
02:37:00,665500,80240.4615384615
02:37:20,665520,77281.3333333334
02:37:40,665540,78751.5471698113
02:38:00,665560,80273.1153846154
02:38:20,665580,71969.5517241379
02:38:40,665600,78769.4150943396
02:39:00,665620,74555.9107142857
02:39:20,665640,80304
02:39:40,665660,77341.4259259259
02:40:00,665680,78802.1132075472
02:40:20,665700,74595.75
02:40:40,665720,75964.7090909091
02:41:00,665740,78835.3396226415
02:41:20,665760,80360.1923076923
02:41:40,665780,80370.4038461539
02:42:00,665800,83592.12
02:42:20,665820,78872.2641509434
02:42:40,665840,80402.6538461539
02:43:00,665860,76029.5272727273
02:43:20,665880,70876.1355932204
02:43:40,665900,80428.5
02:44:00,665920,78920.1886792453
02:44:20,665940,74700.3214285714
02:44:40,665960,80449.5576923077
02:45:00,665980,78941.5660377358
02:45:20,666000,80460.75
02:45:40,666020,83684.84
02:46:00,666040,83697.9
02:46:20,666060,85411.4489795918
02:46:40,666080,87206.2291666666
02:47:00,666100,83730.08
02:47:20,666120,87226.4583333333
02:47:40,666140,85457.8775510204
02:48:00,666160,82114.6470588235
02:48:20,666180,80541.75
02:48:40,666200,82135.6470588235
02:49:00,666220,77584.7037037037
02:49:20,666240,77597.4074074074
02:49:40,666260,80595.2884615385
02:50:00,666280,77621.7222222222
02:50:20,666300,76206.8909090909
02:50:40,666320,82192.5882352941
02:51:00,666340,79101.8679245283
02:51:20,666360,87352.9791666667
02:51:40,666380,83872.22
02:52:00,666400,83873.7
02:52:20,666420,87379
02:52:40,666440,85608.7142857143
02:53:00,666460,89253.2553191489
02:53:20,666480,82253.5294117647
02:53:40,666500,80681.7307692308
02:54:00,666520,85632.4081632653
02:54:20,666540,83932.86
02:54:40,666560,87443.0208333333
02:55:00,666580,89292.4042553192
02:55:20,666600,87442.1458333333
02:55:40,666620,87456.9166666667
02:56:00,666640,89324.8510638298
02:56:20,666660,87472.2916666667
02:56:40,666680,87482.3125
02:57:00,666700,89352.829787234
02:57:20,666720,84006.02
02:57:40,666740,93350.6666666667
02:58:00,666760,91320.0652173913
02:58:20,666780,87529.2083333333
02:58:40,666800,89404.9574468085
02:59:00,666820,91359.347826087
02:59:20,666840,84065.04
02:59:40,666860,89432.4680851064
03:00:00,666880,84076.56
03:00:20,666900,77103.0625
03:00:40,666920,85818.6530612245
