"organization_name","gtfs_dataset_name","valid_from","valid_to"
"Metropolitan Transportation Commission","Bay Area 511 WestCAT VehiclePositions",2023-11-08,2024-07-10 23:59:59
"Monterey-Salinas Transit","Monterey Salinas VehiclePositions",2023-05-23,2098-12-31 23:59:59
"Mountain Area Regional Transit Authority","Mountain Transit GMV VehiclePositions",2024-05-04,2024-06-19 23:59:59
"Palo Verde Valley Transit Agency","Desert Roadrunner Vehicle Positions",2023-10-05,2024-06-19 23:59:59
"Passio Technologies","Arcadia VehiclePositions",2024-04-27,2098-12-31 23:59:59
"Passio Technologies","Cerritos on Wheels Vehicle Positions",2024-04-27,2098-12-31 23:59:59
"Passio Technologies","Irvine CONNECT Vehicle Positions",2024-04-27,2098-12-31 23:59:59
"Passio Technologies","Rosemead Passio Vehicle Positions",2024-04-27,2098-12-31 23:59:59
"Passio Technologies","Spirit Bus Passio Vehicle Positions",2024-04-27,2098-12-31 23:59:59
"Riverside Transit Agency","Riverside VehiclePositions",2023-06-03,2098-12-31 23:59:59
"Sacramento Regional Transit District","Sacramento Vehicle Positions",2023-09-16,2098-12-31 23:59:59
"San Diego Metropolitan Transit System","San Diego Vehicle Positions",2023-05-23,2098-12-31 23:59:59
"San Luis Obispo Regional Transit Authority","SLORTA VehiclePositions",2023-10-28,2024-06-19 23:59:59
"Santa Barbara Metropolitan Transit District","SBMTD VehiclePositions",2023-05-23,2098-12-31 23:59:59
"Southern California Regional Rail Authority","Metrolink VehiclePositions",2024-03-08,2098-12-31 23:59:59
"Stanislaus Regional Transit Authority","StanRTA Vehicle Positions",2023-12-19,2024-06-19 23:59:59
"Swiftly Inc.","Avalon Vehicle Positions",2024-05-04,2024-08-02 23:59:59
"Swiftly Inc.","Banning Pass Vehicle Positions",2024-05-04,2024-08-02 23:59:59
"Swiftly Inc.","Bay Area 511 Golden Gate Ferry Vehicle Positions",2024-05-04,2024-07-10 23:59:59
"Swiftly Inc.","Bay Area 511 Golden Gate Transit Vehicle Positions",2024-05-04,2024-07-10 23:59:59
"Swiftly Inc.","Beaumont Pass Vehicle Positions",2024-05-04,2024-08-02 23:59:59
"Swiftly Inc.","Big Blue Bus VehiclePositions",2024-05-04,2024-08-02 23:59:59
"Swiftly Inc.","Eastern Sierra Vehicle Positions",2024-05-04,2024-08-02 23:59:59
"Swiftly Inc.","Fairfield Vehicle Positions",2024-05-04,2024-08-02 23:59:59
"Swiftly Inc.","Humboldt Vehicle Positions",2024-05-04,2024-08-02 23:59:59
"Swiftly Inc.","LA Metro Bus Vehicle Positions",2024-05-04,2024-08-02 23:59:59
